Author,Mapped Genres
nicky silver,"plays, theatre, drama"
king stephen,"fantasy, fiction, horror, science fiction, audiobook, adventure, westerns"
maya angelou,"non-fiction, memoir, biography, autobiography, biography, african american, classics"
janet nichols lynch,"young adult, realistic fiction, teen, fiction, urban, drama, survival"
julie murphy,"young adult, lgbt, contemporary, romance, queer, fiction, audiobook"
orson scott card,"science fiction, fiction, science fiction, fantasy, young adult, audiobook, adventure"
diana gabaldon,"historical, romance, fiction, fantasy, time travel, historical, historical"
maya angelou,"non-fiction, classics, memoir, biography, autobiography, poetry, feminism"
susan campbell bartoletti,"non-fiction, historical, american, historical, teen, race, african american"
e. l. james,"fiction, erotica, bdsm, adult, contemporary, contemporary, chick lit"
kylie schachte,"mystery, young adult, thriller, lgbt, mystery, contemporary, fiction"
scarlett st. clair,"fantasy, vampires, fantasy, romance, enemies to lovers, paranormal, adult"
sara shepard,"young adult, mystery, fiction, contemporary, romance, chick lit, thriller"
leah scheier,"young adult, romance, contemporary, judaism, realistic fiction, fiction, judaism"
stein tammar,"young adult, israel, fiction, teen, realistic fiction, adult, war"
michael crichton,"science fiction, fiction, thriller, adventure, mystery, audiobook, horror"
maya angelou,"poetry, art, african american, non-fiction"
keith richards,"music, biography, non-fiction, memoir, autobiography, audiobook, biography"
woodson jacqueline,"fiction, historical, audiobook, contemporary, literary fiction, adult, lgbt"
marsha forchuk skyrpuch,"historical, middle grade, historical, young adult, fiction, world war ii, war"
mason deaver,"romance, lgbt, queer, young adult, contemporary, fiction, transgender"
jack kerouac,"fiction, classics, , , travel, philosophy, american"
amy reed,"young adult, contemporary, feminism, lgbt, fiction, realistic fiction, young adult"
colin p. clarke,non-fiction
louise rennison,"young adult, romance, humor, fiction, contemporary, chick lit, teen"
khan sabina,"young adult, lgbt, contemporary, queer, romance, fiction, lesbian"
flynn gillian,"short stories, fiction, horror, thriller, mystery, mystery, audiobook"
sam moussavi,"sports, young adult, realistic fiction"
james nelson,"historical, young adult, westerns, survival, coming of age, historical"
tatiana de rosnay,"fiction, historical, france, mystery, adult, contemporary, audiobook"
krensky stephen,"biography, art"
jennifer l. armentrout,"young adult, fantasy, romance, paranormal, aliens, science fiction, paranormal"
c. s. lewis,"fiction, science fiction, fantasy, christianity, classics, christianity, science fiction"
murphy monica,"sports, romance, sports, college, football, new adult, friends to lovers"
orson scott card,"science fiction, fiction, young adult, fantasy, science fiction, audiobook, space"
sarah j. maas,"young adult, romance, romance, fae, fiction, magic, new adult"
ann brashares,"young adult, fiction, chick lit, contemporary, romance, teen, realistic fiction"
christina hammonds reed,"young adult, historical, contemporary, fiction, audiobook, historical, race"
todd anna,"romance, new adult, young adult, contemporary, fiction, college, contemporary"
e. lockhart,"young adult, contemporary, fantasy, fiction, romance, magic, chick lit"
jim ottaviani,"graphic novel, non-fiction, biography, historical, comic book, science, lgbt"
matson morgan,"young adult, contemporary, romance, fiction, young adult, realistic fiction, audiobook"
angie thomas,"young adult, fiction, contemporary, audiobook, realistic fiction, race, social"
stead rebecca,"middle grade, realistic fiction, lgbt, fiction, family, contemporary, audiobook"
cammie mcgovern,"young adult, romance, contemporary, fiction, realistic fiction, disability, mental health"
erik j. brown,"romance, lgbt, young adult, queer, dystopia, science fiction, fiction"
marcus emerson,"graphic novel, fantasy, middle grade, comic book, juvenile, adventure, childrens"
peirce lincoln,"graphic novel, comic book, childrens, humor, fiction, middle grade, school"
steven brezenoff,"young adult, contemporary, fiction, realistic fiction, death, teen"
art spiegelman,"graphic novel, comic book, historical, non-fiction, memoir, holocaust, biography"
andrea robertson,"young adult, fantasy, paranormal, werewolves, romance, magic, supernatural"
orlagh collins,"lgbt, young adult, contemporary, queer, romance, fiction, bisexual"
lauren barnholdt,"young adult, romance, contemporary, road trip, chick lit, realistic fiction, fiction"
klass david,"young adult, fiction, realistic fiction, abuse, contemporary, teen, high school"
garber romina,"fantasy, young adult, fiction, magic, paranormal, urban, young adult"
cronin justin,"horror, fiction, science fiction, fantasy, post apocalyptic, vampires, dystopia"
sophie kinsella,"chick lit, fiction, romance, contemporary, humor, adult, contemporary"
patricia mccormick,"young adult, fiction, mental health, realistic fiction, mental health, contemporary, psychology"
octavia e. butler,"graphic novel, historical, fiction, science fiction, time travel, fantasy, historical"
king stephen,"horror, fiction, thriller, fantasy, paranormal, supernatural, mystery"
wells rebecca,"fiction, chick lit, contemporary, adult, historical, southern, adult"
clayton dhonielle,"romance, young adult, short stories, contemporary, lgbt, fiction, audiobook"
robert shapard,"short stories, fiction, anthology, fiction, literary fiction, contemporary, school"
kacen callender,"middle grade, lgbt, magic, queer, fiction, young adult, contemporary"
john burdett,"mystery, fiction, crime, thriller, asia, mystery, detective"
leigh bardugo,"fantasy, young adult, superheroes, fiction, mythology, audiobook, retellings"
king stephen,"fiction, horror, fantasy, audiobook, short stories, mystery, novella"
meg cabot,"romance, vampires, fantasy, paranormal, chick lit, fiction, paranormal"
meg cabot,"young adult, romance, fiction, contemporary, chick lit, teen, childrens"
noyes deborah,"young adult, historical, time travel, fantasy, romance, paranormal, historical"
melissa de la cruz,"vampires, young adult, fantasy, paranormal, romance, angels, urban"
kyle lukoff,"picture books, lgbt, family, childrens, realistic fiction, queer, gender"
amie kaufman,"science fiction, young adult, romance, fantasy, fiction, audiobook, dystopia"
true kelley,"biography, non-fiction, childrens, music, middle grade, historical, biography"
ilsa j. bick,"young adult, zombies, dystopia, horror, post apocalyptic, science fiction, fiction"
emily bronte,"fiction, gothic, historical, , historical, , 19th century"
marilyn reynolds,"fiction, young adult, teen"
steel danielle,"romance, fiction, chick lit, contemporary, adult, contemporary, drama"
king stephen,"horror, fantasy, fiction, thriller, audiobook, mystery, science fiction"
yoon nicola,"young adult, romance, contemporary, fiction, realistic fiction, audiobook, young adult"
stacey wallace benefiel,"young adult, paranormal, fantasy, romance, paranormal, supernatural, fiction"
judith rossner,"fiction, contemporary"
steve brewer,mystery
kathi appelt,"fantasy, middle grade, fiction, young adult, childrens, magic, mermaids"
maryann jacob macias,"picture books, lgbt, childrens, queer, gender, realistic fiction, fiction"
brandy colbert,"contemporary, young adult, romance, realistic fiction, fiction, young adult, audiobook"
kathy stinson,"short stories, young adult, canada, teen"
david macaulay,"science, non-fiction, reference, childrens, biology, health, bodies"
claire lazebnik,"young adult, romance, retellings, contemporary, chick lit, young adult, contemporary"
beth revis,"young adult, science fiction, dystopia, romance, fantasy, fiction, mystery"
mcgee katharine,"romance, young adult, audiobook, fiction, contemporary, chick lit, fantasy"
aidan chambers,"young adult, historical, fiction, historical, war, lgbt, realistic fiction"
claire legrand,"horror, young adult, fantasy, lgbt, mystery, fiction, thriller"
bray libba,"fantasy, historical, young adult, paranormal, audiobook, horror, historical"
diana gabaldon,"historical, romance, fantasy, fiction, time travel, historical, historical"
creech sharon,"young adult, fiction, middle grade, childrens, realistic fiction, school, classics"
dee barbara,"middle grade, realistic fiction, fiction, young adult, contemporary, audiobook, childrens"
tomi adeyemi,"fantasy, young adult, fiction, audiobook, magic, young adult, romance"
kami garcia,"fantasy, young adult, paranormal, romance, fiction, magic, supernatural"
hoover colleen,"romance, new adult, young adult, contemporary, fiction, contemporary, abuse"
sara shepard,"young adult, mystery, fiction, contemporary, romance, thriller, chick lit"
amy zhang,"young adult, contemporary, fiction, mental health, realistic fiction, young adult, mental health"
megan rapinoe,"non-fiction, memoir, sports, audiobook, lgbt, biography, feminism"
a. s. a. harrison,"fiction, thriller, mystery, mystery, audiobook, suspense, psychology"
ness patrick,"young adult, fantasy, contemporary, fiction, lgbt, audiobook, paranormal"
colson whitehead,"historical, fiction, historical, audiobook, literary fiction, race, african american"
frank portman,"young adult, fiction, humor, mystery, teen, music, coming of age"
tony allan,"mythology, historical, reference, greek mythology, folklore, non-fiction"
kara lee corthron,"young adult, contemporary, romance, coming of age, realistic fiction, mental health, family"
diana gabaldon,"historical, romance, fantasy, fiction, time travel, historical, historical"
miller linsey,"fantasy, young adult, lgbt, queer, fiction, young adult, romance"
lisa greenwald,"romance, young adult, middle grade, realistic fiction, contemporary, fiction, chick lit"
king stephen,"horror, fiction, thriller, mystery, crime, audiobook, mystery"
aveyard victoria,"fantasy, young adult, dystopia, romance, fiction, young adult, audiobook"
susan howatch,"historical, fiction, ireland, historical, romance, 19th century, gothic"
weis margaret,"fantasy, fiction, science fiction, high fantasy, magic, epic, dragons"
wolff tracy,"fantasy, romance, young adult, vampires, paranormal, audiobook, fiction"
lu marie,"dystopia, young adult, romance, fantasy, science fiction, fiction, audiobook"
king stephen,"horror, fiction, thriller, audiobook, fantasy, mystery, science fiction"
francesca lia block,"young adult, fantasy, paranormal, ghosts, supernatural, fiction, romance"
ryan gebhart,"young adult, science fiction, romance, fiction, aliens, contemporary, teen"
claire needell,"young adult, contemporary, realistic fiction, fiction, young adult, social, high school"
jennifer l. armentrout,"fantasy, romance, paranormal, young adult, audiobook, urban, angels"
klavan andrew,"thriller, fiction, crime, mystery, suspense, mystery, adult"
rowser jamila,"graphic novel, comic book, fiction, contemporary, lgbt, queer, adult"
bracken alexandra,"young adult, dystopia, fantasy, science fiction, romance, fiction, paranormal"
cyndy drew etler,"memoir, non-fiction, mental health, abuse, autobiography, adult, biography"
